threshold,true_negative,false_positive,false_negative,true_positive,precision,recall,f1,false_alert_rate,fraud_capture_rate,total_cost,cost_false_negative,cost_false_positive
0.01,56699,188,13,62,0.248,0.8266666666666667,0.38153846153846155,0.003304797229595514,0.8266666666666667,2240,100,5
0.02,56801,86,15,60,0.410958904109589,0.8,0.5429864253393665,0.001511768945453267,0.8,1930,100,5
0.03,56831,56,18,57,0.504424778761062,0.76,0.6063829787234043,0.0009844076854114297,0.76,2080,100,5
0.04,56844,43,18,57,0.57,0.76,0.6514285714285715,0.0007558844727266335,0.76,2015,100,5
0.05,56855,32,18,57,0.6404494382022472,0.76,0.6951219512195121,0.0005625186773779598,0.76,1960,100,5
0.06,56860,27,18,57,0.6785714285714286,0.76,0.7169811320754716,0.0004746251340376536,0.76,1935,100,5
0.07,56863,24,18,57,0.7037037037037037,0.76,0.7307692307692307,0.0004218890080334699,0.76,1920,100,5
0.08,56863,24,18,57,0.7037037037037037,0.76,0.7307692307692307,0.0004218890080334699,0.76,1920,100,5
0.09,56869,18,18,57,0.76,0.76,0.76,0.0003164167560251024,0.76,1890,100,5
0.1,56870,17,18,57,0.7702702702702703,0.76,0.7651006711409396,0.00029883804735704114,0.76,1885,100,5
0.11,56871,16,18,57,0.7808219178082192,0.76,0.7702702702702703,0.0002812593386889799,0.76,1880,100,5
0.12,56872,15,18,57,0.7916666666666666,0.76,0.7755102040816326,0.00026368063002091865,0.76,1875,100,5
0.13,56873,14,18,57,0.8028169014084507,0.76,0.7808219178082192,0.00024610192135285743,0.76,1870,100,5
0.14,56873,14,18,57,0.8028169014084507,0.76,0.7808219178082192,0.00024610192135285743,0.76,1870,100,5
0.15,56873,14,18,57,0.8028169014084507,0.76,0.7808219178082192,0.00024610192135285743,0.76,1870,100,5
0.16,56873,14,18,57,0.8028169014084507,0.76,0.7808219178082192,0.00024610192135285743,0.76,1870,100,5
0.17,56873,14,18,57,0.8028169014084507,0.76,0.7808219178082192,0.00024610192135285743,0.76,1870,100,5
0.18,56873,14,18,57,0.8028169014084507,0.76,0.7808219178082192,0.00024610192135285743,0.76,1870,100,5
0.19,56873,14,18,57,0.8028169014084507,0.76,0.7808219178082192,0.00024610192135285743,0.76,1870,100,5
0.2,56873,14,18,57,0.8028169014084507,0.76,0.7808219178082192,0.00024610192135285743,0.76,1870,100,5
0.21,56873,14,18,57,0.8028169014084507,0.76,0.7808219178082192,0.00024610192135285743,0.76,1870,100,5
0.22,56873,14,18,57,0.8028169014084507,0.76,0.7808219178082192,0.00024610192135285743,0.76,1870,100,5
0.23,56873,14,18,57,0.8028169014084507,0.76,0.7808219178082192,0.00024610192135285743,0.76,1870,100,5
0.24,56873,14,18,57,0.8028169014084507,0.76,0.7808219178082192,0.00024610192135285743,0.76,1870,100,5
0.25,56875,12,18,57,0.8260869565217391,0.76,0.7916666666666666,0.00021094450401673494,0.76,1860,100,5
0.26,56875,12,18,57,0.8260869565217391,0.76,0.7916666666666666,0.00021094450401673494,0.76,1860,100,5
0.27,56876,11,18,57,0.8382352941176471,0.76,0.7972027972027972,0.0001933657953486737,0.76,1855,100,5
0.28,56876,11,18,57,0.8382352941176471,0.76,0.7972027972027972,0.0001933657953486737,0.76,1855,100,5
0.29,56876,11,18,57,0.8382352941176471,0.76,0.7972027972027972,0.0001933657953486737,0.76,1855,100,5
0.3,56876,11,18,57,0.8382352941176471,0.76,0.7972027972027972,0.0001933657953486737,0.76,1855,100,5
0.31,56876,11,18,57,0.8382352941176471,0.76,0.7972027972027972,0.0001933657953486737,0.76,1855,100,5
0.32,56876,11,18,57,0.8382352941176471,0.76,0.7972027972027972,0.0001933657953486737,0.76,1855,100,5
0.33,56876,11,18,57,0.8382352941176471,0.76,0.7972027972027972,0.0001933657953486737,0.76,1855,100,5
0.34,56876,11,18,57,0.8382352941176471,0.76,0.7972027972027972,0.0001933657953486737,0.76,1855,100,5
0.35,56876,11,18,57,0.8382352941176471,0.76,0.7972027972027972,0.0001933657953486737,0.76,1855,100,5
0.36,56876,11,18,57,0.8382352941176471,0.76,0.7972027972027972,0.0001933657953486737,0.76,1855,100,5
0.37,56876,11,18,57,0.8382352941176471,0.76,0.7972027972027972,0.0001933657953486737,0.76,1855,100,5
0.38,56876,11,18,57,0.8382352941176471,0.76,0.7972027972027972,0.0001933657953486737,0.76,1855,100,5
0.39,56876,11,18,57,0.8382352941176471,0.76,0.7972027972027972,0.0001933657953486737,0.76,1855,100,5
0.4,56876,11,18,57,0.8382352941176471,0.76,0.7972027972027972,0.0001933657953486737,0.76,1855,100,5
0.41,56876,11,18,57,0.8382352941176471,0.76,0.7972027972027972,0.0001933657953486737,0.76,1855,100,5
0.42,56876,11,18,57,0.8382352941176471,0.76,0.7972027972027972,0.0001933657953486737,0.76,1855,100,5
0.43,56877,10,18,57,0.8507462686567164,0.76,0.8028169014084507,0.00017578708668061245,0.76,1850,100,5
0.44,56877,10,18,57,0.8507462686567164,0.76,0.8028169014084507,0.00017578708668061245,0.76,1850,100,5
0.45,56877,10,18,57,0.8507462686567164,0.76,0.8028169014084507,0.00017578708668061245,0.76,1850,100,5
0.46,56877,10,18,57,0.8507462686567164,0.76,0.8028169014084507,0.00017578708668061245,0.76,1850,100,5
0.47,56877,10,18,57,0.8507462686567164,0.76,0.8028169014084507,0.00017578708668061245,0.76,1850,100,5
0.48,56878,9,18,57,0.8636363636363636,0.76,0.8085106382978723,0.0001582083780125512,0.76,1845,100,5
0.49,56879,8,18,57,0.8769230769230769,0.76,0.8142857142857143,0.00014062966934448996,0.76,1840,100,5
0.5,56879,8,18,57,0.8769230769230769,0.76,0.8142857142857143,0.00014062966934448996,0.76,1840,100,5
0.51,56879,8,18,57,0.8769230769230769,0.76,0.8142857142857143,0.00014062966934448996,0.76,1840,100,5
0.52,56879,8,18,57,0.8769230769230769,0.76,0.8142857142857143,0.00014062966934448996,0.76,1840,100,5
0.53,56879,8,18,57,0.8769230769230769,0.76,0.8142857142857143,0.00014062966934448996,0.76,1840,100,5
0.54,56879,8,18,57,0.8769230769230769,0.76,0.8142857142857143,0.00014062966934448996,0.76,1840,100,5
0.55,56879,8,18,57,0.8769230769230769,0.76,0.8142857142857143,0.00014062966934448996,0.76,1840,100,5
0.56,56879,8,18,57,0.8769230769230769,0.76,0.8142857142857143,0.00014062966934448996,0.76,1840,100,5
0.57,56879,8,18,57,0.8769230769230769,0.76,0.8142857142857143,0.00014062966934448996,0.76,1840,100,5
0.58,56879,8,19,56,0.875,0.7466666666666667,0.8057553956834532,0.00014062966934448996,0.7466666666666667,1940,100,5
0.59,56879,8,19,56,0.875,0.7466666666666667,0.8057553956834532,0.00014062966934448996,0.7466666666666667,1940,100,5
0.6,56879,8,19,56,0.875,0.7466666666666667,0.8057553956834532,0.00014062966934448996,0.7466666666666667,1940,100,5
0.61,56879,8,19,56,0.875,0.7466666666666667,0.8057553956834532,0.00014062966934448996,0.7466666666666667,1940,100,5
0.62,56880,7,19,56,0.8888888888888888,0.7466666666666667,0.8115942028985508,0.00012305096067642872,0.7466666666666667,1935,100,5
0.63,56880,7,19,56,0.8888888888888888,0.7466666666666667,0.8115942028985508,0.00012305096067642872,0.7466666666666667,1935,100,5
0.64,56880,7,19,56,0.8888888888888888,0.7466666666666667,0.8115942028985508,0.00012305096067642872,0.7466666666666667,1935,100,5
0.65,56880,7,19,56,0.8888888888888888,0.7466666666666667,0.8115942028985508,0.00012305096067642872,0.7466666666666667,1935,100,5
0.66,56880,7,19,56,0.8888888888888888,0.7466666666666667,0.8115942028985508,0.00012305096067642872,0.7466666666666667,1935,100,5
0.67,56880,7,19,56,0.8888888888888888,0.7466666666666667,0.8115942028985508,0.00012305096067642872,0.7466666666666667,1935,100,5
0.68,56880,7,19,56,0.8888888888888888,0.7466666666666667,0.8115942028985508,0.00012305096067642872,0.7466666666666667,1935,100,5
0.69,56880,7,19,56,0.8888888888888888,0.7466666666666667,0.8115942028985508,0.00012305096067642872,0.7466666666666667,1935,100,5
0.7,56880,7,19,56,0.8888888888888888,0.7466666666666667,0.8115942028985508,0.00012305096067642872,0.7466666666666667,1935,100,5
0.71,56880,7,19,56,0.8888888888888888,0.7466666666666667,0.8115942028985508,0.00012305096067642872,0.7466666666666667,1935,100,5
0.72,56880,7,19,56,0.8888888888888888,0.7466666666666667,0.8115942028985508,0.00012305096067642872,0.7466666666666667,1935,100,5
0.73,56880,7,19,56,0.8888888888888888,0.7466666666666667,0.8115942028985508,0.00012305096067642872,0.7466666666666667,1935,100,5
0.74,56880,7,19,56,0.8888888888888888,0.7466666666666667,0.8115942028985508,0.00012305096067642872,0.7466666666666667,1935,100,5
0.75,56880,7,19,56,0.8888888888888888,0.7466666666666667,0.8115942028985508,0.00012305096067642872,0.7466666666666667,1935,100,5
0.76,56880,7,19,56,0.8888888888888888,0.7466666666666667,0.8115942028985508,0.00012305096067642872,0.7466666666666667,1935,100,5
0.77,56881,6,19,56,0.9032258064516129,0.7466666666666667,0.8175182481751825,0.00010547225200836747,0.7466666666666667,1930,100,5
0.78,56881,6,19,56,0.9032258064516129,0.7466666666666667,0.8175182481751825,0.00010547225200836747,0.7466666666666667,1930,100,5
0.79,56881,6,19,56,0.9032258064516129,0.7466666666666667,0.8175182481751825,0.00010547225200836747,0.7466666666666667,1930,100,5
0.8,56881,6,19,56,0.9032258064516129,0.7466666666666667,0.8175182481751825,0.00010547225200836747,0.7466666666666667,1930,100,5
0.81,56881,6,19,56,0.9032258064516129,0.7466666666666667,0.8175182481751825,0.00010547225200836747,0.7466666666666667,1930,100,5
0.82,56881,6,19,56,0.9032258064516129,0.7466666666666667,0.8175182481751825,0.00010547225200836747,0.7466666666666667,1930,100,5
0.83,56881,6,20,55,0.9016393442622951,0.7333333333333333,0.8088235294117647,0.00010547225200836747,0.7333333333333333,2030,100,5
0.84,56881,6,20,55,0.9016393442622951,0.7333333333333333,0.8088235294117647,0.00010547225200836747,0.7333333333333333,2030,100,5
0.85,56881,6,20,55,0.9016393442622951,0.7333333333333333,0.8088235294117647,0.00010547225200836747,0.7333333333333333,2030,100,5
0.86,56881,6,20,55,0.9016393442622951,0.7333333333333333,0.8088235294117647,0.00010547225200836747,0.7333333333333333,2030,100,5
0.87,56881,6,20,55,0.9016393442622951,0.7333333333333333,0.8088235294117647,0.00010547225200836747,0.7333333333333333,2030,100,5
0.88,56881,6,20,55,0.9016393442622951,0.7333333333333333,0.8088235294117647,0.00010547225200836747,0.7333333333333333,2030,100,5
0.89,56881,6,20,55,0.9016393442622951,0.7333333333333333,0.8088235294117647,0.00010547225200836747,0.7333333333333333,2030,100,5
0.9,56882,5,20,55,0.9166666666666666,0.7333333333333333,0.8148148148148148,8.789354334030623e-05,0.7333333333333333,2025,100,5
0.91,56883,4,20,55,0.9322033898305084,0.7333333333333333,0.8208955223880597,7.031483467224498e-05,0.7333333333333333,2020,100,5
0.92,56884,3,20,55,0.9482758620689655,0.7333333333333333,0.8270676691729323,5.2736126004183736e-05,0.7333333333333333,2015,100,5
0.93,56884,3,20,55,0.9482758620689655,0.7333333333333333,0.8270676691729323,5.2736126004183736e-05,0.7333333333333333,2015,100,5
0.94,56884,3,21,54,0.9473684210526315,0.72,0.8181818181818182,5.2736126004183736e-05,0.72,2115,100,5
0.95,56884,3,21,54,0.9473684210526315,0.72,0.8181818181818182,5.2736126004183736e-05,0.72,2115,100,5
